Date,m1,m2,m3,m4,pib,selic,indice_ipca,selic_lag1,selic_lag3,selic_lag6,selic_lag12,pib_lag1,pib_lag3,pib_lag6,pib_lag12,pib_real,m1_real,m2_real,m3_real,m4_real,log_m1,log_m2,log_m3,log_m4,log_pib,dlog_m1,dlog_m2,dlog_m3,dlog_m4,dlog_mean,D_crise
2018-01-01,347.81612,2540.195151,5774.73469,6206.921935,165420.0,6.9,272.021947399996,7.0,8.01,10.01,13.17,165806.6666666667,166580.0,168270.0,162330.0,60811.269671839145,127.86325637488069,933.8199271343196,2122.892930219529,2281.7724798775157,4.850961383298961,6.839283622140287,7.660535027185828,7.73270782338199,11.015530407222597,-0.10144651178003894,-0.01910155705122385,-0.0021370708066870137,-0.006046571191793859,-0.032182927707435915,0
2018-02-01,349.603126,2555.76499,5800.302433,6226.46111,166183.33333333334,6.72,272.89241763167604,6.9,7.4,9.15,12.82,165420.0,166193.3333333333,167706.6666666667,163233.33333333334,60897.01383994905,128.11023810557487,936.5467212978874,2125.490507702083,2281.654127306637,4.8528911284691825,6.842199409906012,7.66175788187595,7.7326559533373525,11.01693941866901,0.0019297451702211532,0.0029157877657253195,0.001222854690121622,-5.187004463724776e-05,0.0015041293953577117,0
2018-03-01,355.419947,2610.244305,5858.214642,6285.84576,166946.66666666666,6.58,273.13802080754454,6.72,7.0,8.35,12.15,166183.33333333334,165806.6666666667,167143.33333333334,164136.66666666666,61121.72379849627,130.1246695532117,955.6502962431589,2144.7818303288323,2301.3441121875385,4.868492987475322,6.862392047221831,7.670793115386814,7.741248627827322,11.02062262695212,0.015601859006139307,0.02019263731581855,0.009035233510863883,0.00859267448996981,0.013355601080697888,0
2018-04-01,359.192039,2610.320393,5862.418608,6301.712173,167710.0,6.4,273.73892445332115,6.58,6.9,8.01,11.59,166946.66666666666,165420.0,166580.0,165040.0,61266.40569474381,131.21701260328092,953.5802766132078,2141.609425735754,2302.08845365526,4.876852537335984,6.860223613015401,7.669312893455214,7.74157201324182,11.022986940619532,0.00835954986066234,-0.002168434206430092,-0.001480221931599246,0.00032338541449750124,0.001258569784282626,0
2018-05-01,358.130097,2639.056258,5875.957544,6393.646561,169050.0,6.4,274.83388015113445,6.4,6.72,7.4,11.15,167710.0,166183.33333333334,166193.3333333333,166116.6666666667,61509.88368211276,130.30784152341766,960.2368734701672,2138.003342516847,2326.367679808638,4.869899662852776,6.867179997223876,7.667627654968636,7.752063394450672,11.026953151160352,-0.006952874483207694,0.006956384208475441,-0.0016852384865782,0.010491381208852069,0.002202413111885404,0
2018-06-01,359.116892,2687.682367,5937.930939,6476.692981,170390.0,6.4,278.2967870410387,6.4,6.58,7.0,10.15,169050.0,166946.66666666666,165806.6666666667,167193.3333333333,61226.00329369725,129.04097665599107,965.7611917034685,2133.668520623046,2327.2611408355647,4.860130002418124,6.872916590092723,7.665598087379802,7.752447379109672,11.022327268679934,-0.009769660434652216,0.00573659286884709,-0.0020295675888339915,0.0003839846589999141,-0.001419662623909801,0
2018-07-01,356.789583,2687.705607,5952.652635,6473.910303,171730.0,6.4,279.2151664382742,6.4,6.4,6.9,10.01,170390.0,167710.0,165420.0,168270.0,61504.53866479497,127.78302394933661,962.5929856479227,2131.923101074077,2318.609832546894,4.850333700173069,6.869630669961016,7.6647797157206385,7.748723074953133,11.026866250499125,-0.009796302245055344,-0.00328592013170681,-0.0008183716591636525,-0.0037243041565391266,-0.004406224548116233,0
2018-08-01,365.71988,2722.687661,6051.069562,6588.892467,170876.66666666666,6.4,278.96387278847976,6.4,6.4,6.72,9.15,171730.0,169050.0,166183.33333333334,167706.6666666667,61254.04876216046,131.09937008843497,976.0000941284744,2169.1230127809895,2361.9160435143262,4.875955585940681,6.883462682856197,7.682078223271708,7.767228451466109,11.022785228461672,0.025621885767612262,0.013832012895180767,0.017298507551069875,0.018505376512976568,0.018814445681709868,0
2018-09-01,371.430695,2768.549987,6107.351558,6642.73804,170023.3333333333,6.4,280.30289937786443,6.4,6.4,6.58,8.35,170876.66666666666,170390.0,166946.66666666666,167143.33333333334,60657.00130491055,132.51047200167918,987.6993756200271,2178.8399519075037,2369.842786051673,4.886661676278194,6.895378375758397,7.686547881998052,7.77057889692962,11.012990345548353,0.010706090337512464,0.011915692902199737,0.004469658726343972,0.0033504454635107095,0.007610471857391721,0
2018-10-01,362.857188,2758.971123,6137.916038,6629.067471,169170.0,6.4,281.5642624250648,6.4,6.4,6.4,8.01,170023.3333333333,171730.0,167710.0,166580.0,60082.19883552257,128.87189051436187,979.8726227673405,2179.9343372398116,2354.3710462062822,4.858818814126444,6.887422586448886,7.687050034797306,7.764028899105913,11.00346888422907,-0.027842862151749692,-0.007955789309511019,0.0005021527992532526,-0.00654999782370691,-0.010461624121428592,0
2018-11-01,376.198825,2767.462368,6150.787765,6639.977745,168416.66666666666,6.4,280.97297747397215,6.4,6.4,6.4,7.4,169170.0,170876.66666666666,169050.0,166193.3333333333,59940.52103543228,133.89146115834185,984.9567716014125,2189.1029594010606,2363.208663229934,4.897029480375006,6.892597753509966,7.691247131319023,7.76777557765984,11.001108033449361,0.0382106662485624,0.0051751670610800105,0.004197096521717292,0.003746678553927296,0.012832402096321749,0
2018-12-01,410.226239,2851.295642,6327.699486,6760.860118,167663.3333333333,6.4,281.39443694018314,6.4,6.4,6.4,7.0,168416.66666666666,170023.3333333333,170390.0,165806.6666666667,59583.03055187051,145.78335075160106,1013.2736357563842,2248.693881373745,2402.6274973720165,4.982121620678262,6.920941591914257,7.718104829477528,7.7843182080615465,10.995126090228304,0.08509214030325563,0.028343838404291333,0.026857698158504917,0.016542630401706226,0.039209076816939525,0
2019-01-01,372.836696,2782.890822,6247.917656,6701.921956,166910.0,6.4,282.29489913839177,6.4,6.4,6.4,6.9,167663.3333333333,169170.0,171730.0,165420.0,59126.11262528493,132.07347959100784,985.8098146632541,2213.259139669056,2374.085389589155,4.883358431274923,6.893463450260724,7.70222143200666,7.772367543178677,10.987427943803812,-0.09876318940333917,-0.027478141653532795,-0.015883397470867422,-0.011950664882869333,-0.03851884835265218,0
2019-02-01,376.405088,2789.368553,6261.466804,6709.137534,167833.33333333334,6.4,283.5087672046869,6.4,6.4,6.4,6.72,166910.0,168416.66666666666,170876.66666666666,166183.33333333334,59198.6396005036,132.76664835138735,983.8738253149467,2208.5619664380124,2366.465630022706,4.888593063568593,6.89149766252461,7.7000968887991785,7.769152825692433,10.988653840886837,0.005234632293670494,-0.001965787736114777,-0.0021245432074818993,-0.003214717486244467,-0.0005176040340426624,0
2019-03-01,377.380908,2826.921482,6316.011118,6786.532799,168756.66666666666,6.4,285.635082958722,6.4,6.4,6.4,6.58,167833.33333333334,167663.3333333333,170023.3333333333,166946.66666666666,59081.21121488924,132.11994272234983,989.6968722180835,2211.2168619401514,2375.9451145504913,4.8837101669950185,6.897398706564301,7.701298259240798,7.773150580279066,10.986668237702759,-0.004882896573574769,0.005901044039691605,0.0012013704416196092,0.0039977545866332065,0.001554318123592413,0
2019-04-01,375.671489,2837.567785,6329.039326,6802.015276,169680.0,6.4,287.26320293158676,6.4,6.4,6.4,6.4,168756.66666666666,166910.0,169170.0,167710.0,59067.78113882208,130.77605664985506,987.7936874761442,2203.219647142657,2367.8686328718322,4.873486369131164,6.895473857598298,7.697675045483039,7.7697455184818685,10.986440896345757,-0.010223797863854855,-0.0019248489660030899,-0.0036232137577592027,-0.0034050617971974617,-0.0047942305962036524,0
2019-05-01,371.57121,2858.260568,6413.435285,6851.178385,171000.0,6.4,287.6366450953978,6.4,6.4,6.4,6.4,169680.0,167833.33333333334,168416.66666666666,169050.0,59450.00503787895,129.180762025911,993.7052933752676,2229.700350896846,2381.886488325482,4.861212679533445,6.901440677158088,7.70962248363033,7.775648094844194,10.99289098686037,-0.012273689597718906,0.005966819559789727,0.011947438147291045,0.005902576362325718,0.0028857861179218958,0
2019-06-01,376.630901,2882.284876,6462.18563,6884.678511,172320.0,6.4,287.66540875990734,6.4,6.4,6.4,6.4,171000.0,168756.66666666666,167663.3333333333,170390.0,59902.92706476313,130.92672581789125,1001.9574089304657,2246.424294758881,2393.2938411604864,4.87463782180784,6.909710774683982,7.7170950287475835,7.780425872330144,11.000480648765455,0.013425142274395618,0.008270097525894471,0.007472545117253482,0.0047777774859500965,0.008486390600873417,0
2019-07-01,372.490492,2887.363074,6514.18514,6915.668862,173640.0,6.4,288.21197303655117,6.4,6.4,6.4,6.4,172320.0,169680.0,166910.0,171730.0,60247.32358290296,129.2418521255398,1001.8192664167436,2260.2062889225867,2399.5078306906257,4.861685471753796,6.909572892538092,7.723211366385053,7.783018924760625,11.00621342850569,-0.012952350054044715,-0.0001378821458901669,0.006116337637469549,0.002593052430480469,-0.0010952105329962158,0
2019-08-01,376.799693,2910.893771,6552.984089,7022.518299,173103.3333333333,5.9,288.52900620689144,6.4,6.4,6.4,6.4,173640.0,171000.0,167833.33333333334,170876.66666666666,59995.12340510006,130.5933493320299,1008.8738769344827,2271.1699510381786,2433.9037489923844,4.8720882915948955,6.916590014457925,7.728050374637186,7.797251728391039,11.002018561319451,0.01040281984109992,0.007017121919832725,0.004839008252132793,0.014232803630414459,0.009122938410869974,0
2019-09-01,387.561723,2954.813223,6646.055953,7092.243208,172566.66666666666,5.71,288.4135946044087,5.9,6.4,6.4,6.4,173103.3333333333,172320.0,168756.66666666666,170023.3333333333,59833.055686352454,134.37706482996546,1024.5055289619254,2304.3490588977975,2459.0530199270947,4.900649764940356,6.931965364406144,7.7425535115983495,7.807531603564508,10.999313557892082,0.028561473345460442,0.01537534994821943,0.014503136961163676,0.010279875173468511,0.017179958857078015,0
2019-10-01,381.928994,2966.159632,6666.13206,7090.277775,172030.0,5.38,288.70200819901305,5.71,6.4,6.4,6.4,172566.66666666666,173640.0,169680.0,169170.0,59587.39292225958,132.29176907447143,1027.412192420676,2309.0009319937903,2455.915640916639,4.885009855084787,6.934798485220564,7.744570212989663,7.806254940516144,10.9951993025282,-0.015639909855568845,0.002833120814419665,0.002016701391313269,-0.0012766630483636021,-0.0030166876745498783,0
2019-11-01,406.241336,3006.693123,6705.196896,7159.55818,170553.33333333334,4.9,290.174388440828,5.38,5.9,6.4,6.4,172030.0,173103.3333333333,171000.0,168416.66666666666,58776.149835192075,139.99903236906113,1036.1676435868912,2310.747317166248,2467.329462972218,4.941635510935855,6.943284227862351,7.7453262651212755,7.810891655635402,10.98149143655493,0.056625655851068046,0.008485742641787475,0.0007560521316127833,0.004636715119257673,0.017626041435931494,0
2019-12-01,447.721783,3099.422442,6813.474032,7256.443849,169076.66666666666,4.59,293.5113939078975,4.9,5.71,6.4,6.4,170553.33333333334,172566.66666666666,172320.0,167663.3333333333,57604.80518849027,152.5398305799648,1055.9802809469754,2321.3661116467715,2472.2869365940314,5.027425746075746,6.96222479074619,7.749911132588444,7.8128988865153985,10.961361266615732,0.08579023513989092,0.01894056288383883,0.004584867467168685,0.0020072308799967686,0.027830724092723802,0
